;post_message;post_message_en
10;Así  es cada enfermedad y cada paciente es un mundo. Escúchale  enpatiza con el y aprenderás mas que en muchos años de carrera.;So each disease and each patient is different. Listen to him and learn enpatiza with more than many years of career.
11;;
12;;
13;Julia Del Campo Garcia shared EURORDIS - European Rare Diseases Organisation s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared EURORDIS - European Rare Diseases Organisation s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
14;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
15;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s photo to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s photo to the group: Spanish Association for Research and Assistance Wolfram syndrome.
16;https://www.facebook.com/photo.php?fbid=10207368437263744&set=a.2953291145923.140573.1070743256&type=3&theater;https://www.facebook.com/photo.php?fbid=10207368437263744&set=a.2953291145923.140573.1070743256&type=3&theater
17;Julia Del Campo Garcia shared Rare Commons - Hospital Sant Joan de Déu Barcelona s photo to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Rare Commons - Hospital Sant Joan de Deu Barcelona s photo to the group: Spanish Association for Research and Assistance Wolfram syndrome.
18;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
19;Julia Del Campo Garcia shared Enfermedades Poco Frecuentes s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared rare diseases s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
20;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
21;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
22;;
23;Os dejamos en imágenes la firma de los convenios de colaboración con la Obra Social la Caixa. Gracias a ayudas como esta la Asociación podrá seguir realizando todas las actividades que hasta ahora ha estado llevando a cabo con el objetivo final siempre de mejorar la calidad de vida de las personas con Síndrome de Wolfram y la de sus familiares.;We leave you in pictures the signing of cooperation agreements with the Caixa Social Work. With support like this the Association may continue to perform all activities which until now has been performing with the ultimate goal always to improve the quality of life of people with Wolfram syndrome and their families.
24;;
25;;
26;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
27;Muchas de las enfermedades raras cursan  con ataxias y otras patologías Neurológicas  que afectan terriblemente a la calidad de vida del paciente y su entorno directo. Articulo La ataxia de Friedreich es una enfermedad hereditaria y progresiva  que afecta el habla y el movimiento y por lo general tiene su inicio en la infancia. Al cabo de 10 o 20 años los pacientes quedan confinados a una silla de ruedas  antes de quedar totalmente incapacitados en etapas posteriores. Las… BOLETIN.FEDAES.ORG;Many rare diseases present with ataxia and other neurological diseases affecting terribly quality of life of patients and their direct environment. Article Friedreich's ataxia is an inherited, progressive disease that affects speech and movement and usually has its onset in childhood. After 10 or 20 years patients are confined to a wheelchair before they become totally disabled in later stages. The ... BOLETIN.FEDAES.ORG
28;http://scielo.isciii.es/pdf/albacete/v6n1/paciente4.pdf;http://scielo.isciii.es/pdf/albacete/v6n1/paciente4.pdf
29;;
30;http://www.infosalus.com/salud-investigacion/noticia-avances-conocimiento-sindrome-wolfram-20160720073436.html;http://www.infosalus.com/salud-investigacion/noticia-avances-conocimiento-sindrome-wolfram-20160720073436.html
31;;
32;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s photo to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s photo to the group: Spanish Association for Research and Assistance Wolfram syndrome.
33;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s photo to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s photo to the group: Spanish Association for Research and Assistance Wolfram syndrome.
34;http://www.somospacientes.com/noticias/asociaciones/convenios-para-la-investigacion-y-la-atencion-en-el-sindrome-de-wolfram/;http://www.somospacientes.com/noticias/asociaciones/convenios-para-la-investigacion-y-la-atencion-en-el-sindrome-de-wolfram/
35;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
36;Julia Del Campo Garcia shared a memory to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared a memory to the group: Spanish Association for Research and Assistance Wolfram syndrome.
37;;
38;Esto fue hace unos años  pero cuando el el sistema andaluz decían que había una unidad de wolfram  ya cuando no nos querían atender lo quitaron de weeb  vamos como si fueramos idiotas y mentirososss;This was a few years ago but when the Andalusian system said there was a unit of wolfram and when they did not want us to meet weeb they took it off as if we were idiots going and mentirososss
39;Julia Del Campo Garcia shared Alianza Von Hippel Lindau España s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Von Hippel Lindau Alliance Spain s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
40;;
41;Julia Del Campo Garcia shared Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Spanish Association for Research and Assistance Wolfram syndrome s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
42;Este artículo que da ejercicios de rehabilitación para la ataxia cerebelosa pienso que puede ser interesante para los pacientes de Wolfram.  ;This article provides rehabilitation exercises for cerebellar ataxia think it may be interesting for patients with Wolfram.  
43;Un pequeño adelanto del Documental sobre el Wolfram que en breve podréis ver completo. Bonito y emotivo trailer.  ;A small preview of the documentary about the Wolfram that soon will see completely. Beautiful and emotional trailer.  
44;"DESCRIPCIÓN CLÍNICA DEL SÍNDROME DE WOLFRAM  por Gema Esteban Bueno  Gema Esteban Bueno. Esteban Bueno G  Síndrome de Wolfram: Descripción clínica. Medicina General y de Familia 2010;134:749-752. 134  pp. 749 - 752. 2010";"DESCRIPTION CLINICAL SYNDROME WOLFRAM by Gema Gema Esteban Esteban Well Well. Stephen Wolfram Syndrome Well G: Clinical description. General and Family Medicine 2010; 134: 749-752. 134 pp. {0}8.{/0} {1}   {/1} 2011"
45;Esperamos que os guste https://www.youtube.com/watch?v=6fGKQtSGPlo;We hope you like https://www.youtube.com/watch?v=6fGKQtSGPlo
46;;
47;;
48;Julia Del Campo Garcia shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
49;http://www.orpha.net/orphacom/cahiers/docs/ES/Prevalencia_de_las_enfermedades_raras_por_orden_alfabetico.pdf;http://www.orpha.net/orphacom/cahiers/docs/ES/Prevalencia_de_las_enfermedades_raras_por_orden_alfabetico.pdf
50;Si alguien o alguna empresa desea hacer una donación a la Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram podéis hacerla a través del siguiente enlace de nuestra página web. El dinero recaudado se destina a mejorar la calidad de vida de los pacientes y a futuros proyectos de investigación. Con un poco de cada uno podemos mejorar mucho. Y además recordamos que los donativos se pueden desgravar en la declaración de la renta.  https://www.paypal.com/es/cgi-bin/webscr?cmd=_flow&SESSION=cjpczhkeXtnT4PTAMiReoAL1lisOpWh6aRPr1TNNSlcAAj-K-_PtRLagGPi&dispatch=5885d80a13c0db1f8e263663d3faee8dcce3e160f5b9538489e17951d2c62172;If someone or some company wants to make a donation to the Spanish Association for Research and Assistance Wolfram syndrome you can make it through the following link to our website. The money raised is intended to improve the quality of life of patients and future research projects. With a little of each we can improve a lot. And we remember that donations can be deducted in the income statement. https://www.paypal.com/es/cgi-bin/webscr?cmd=_flow&SESSION=cjpczhkeXtnT4PTAMiReoAL1lisOpWh6aRPr1TNNSlcAAj-K-_PtRLagGPi&dispatch=5885d80a13c0db1f8e263663d3faee8dcce3e160f5b9538489e17951d2c62172
51;Voy a ir actualizando la información del grupo que ha estado un tiempo un poco parado. En él vais a poder conocer más a fondo el síndrome de wolfra  Iré poniendo novedades y publicaciones médicas  artículos y las cosas relacionadas con el síndrome. Os agradecería a todos que si podéis vayais compartiendo las cosas para poder darle más difusión a la enfermedad. Estamos seguros de que hay personas que padecen el síndrome y no lo saben. Muchas gracias a todos!!;I'll be updating information group that has been standing a little time. In it are going to be able to learn more about the syndrome I will be putting Wolfra news articles and medical journals and things related to the syndrome. I appreciate everyone that if you can vayais sharing things in order to give more publicity to the disease. We are sure that there are people who have the syndrome and not know it. Thank you very much to all!!
52;Noelia Higueras del Campo updated Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram s topics to Wolfram syndrome  Medicine  Diabetes  Diabetes insipidus  Rare disease.;Noelia Higueras del Campo updated Spanish Association for Research and Assistance Wolfram Syndrome Wolfram syndrome s topics to Diabetes Medicine Diabetes insipidus Rare disease.
53;Julia Del Campo Garcia shared Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Spanish Association for Research and Assistance Wolfram syndrome s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
54;;
55;Os dejo un artículo publicado por la dra. Gema Esteban Bueno y F. M. Gómez Trujillo  que trata sobre las Manifestaciones clínicas del Síndrome de Wolfram y el retraso en el diagnóstico de la enfermedad.;I leave an article published by the dra. Gema Esteban Gomez Bueno and FM Trujillo dealing with clinical manifestations of Wolfram syndrome and delayed diagnosis of the disease.
56;Julia Del Campo Garcia shared TODO DISCA s video to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared ALL DISCA s video to the group: Spanish Association for Research and Assistance Wolfram syndrome.
57;;
58;;
59;Os copio un enlace. Así es como la Dra. Gema Esteban Bueno nos encontró y nos dijo lo que mi hermano tenía. Hasta que ella llegó mi hermano era un diabético mas y resulta que las otras cosas que también padecía eran claves para diagnosticarle el Síndrome de Wolfram.  ;I copied a link. This is how Dr. Gema Esteban Well found us and told us what my brother did. Until she arrived my brother was a diabetic and it more than the other things that also suffered were key to diagnose Wolfram Syndrome.  
60;Aquí os dejamos una pequeña muestra de todas las actividades que se han realizado este año con motivo de las valoraciones integrales del Síndrome de Wolfram celebradas entre Huércal Overa y Almería los días 18  19  20 y 21 de Mayo. El 21 se celebró además una Jornada de Puertas Abiertas sobre el Síndrome de Wolfram en la Universidad de Almería en la que a través de videoconferencias participaron expertos internacionales en el Síndrome de Wolfram. También se realizó un encuentro entre las familias  y el día 22 la Asociación asistió además como representante de una ER a la Carrera celebrada por la Salle a favor de las ER. La Dra. Gema Esteban Bueno acudió en calidad de presidenta de la Asociación Wolfram y como Delegada de Feder en Andalucía.  Entre todos vamos consiguiendo que el Síndrome de Wolfram tenga una mayor visibilidad en la sociedad.;Here you have a small sample of all the activities that have taken place this year on the occasion of comprehensive assessments Wolfram Syndrome held between Huércal Overa and Almería on 18 19 20 and 21 May. 21 is also held an Open Day on Wolfram Syndrome at the University of Almería in which through videoconferencing international experts in Wolfram syndrome. a meeting between families and day 22 the Association also attended as representative of an ER to the Carrera celebrated by La Salle in favor of ER was also performed. Dra. Gema Esteban Well attended as president of the Association Wolfram Feder and as Delegate in Andalusia.  Among all we getting Wolfram syndrome have greater visibility in society.
61;Noelia Higueras del Campo made Miguel Navarro Cabrero an admin of the group Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Noelia Higueras del Campo Cabrero Miguel Navarro made an admin of the group Spanish Association for Research and Assistance Wolfram syndrome.
62;https://www.facebook.com/julia.delcampogarcia/posts/10201827741091114;https://www.facebook.com/julia.delcampogarcia/posts/10201827741091114
63;Desde que este grupo se creó hace 7 años ha sido un grupo cerrado  ahora lo he cambiado para que sea público por lo que os pido a los miembros del grupo que lo compartáis en vuestros muros a ver si conseguimos que más gente nos vea. Queremos dar difusión a la enfermedad y todos podéis ayudarnos!!  Gracias;Since this group was established 7 years ago has been a closed group now have changed to make it public so I ask the members of the group that you share in your walls to see if we get more people to see us. We want to spread the disease and can help us all !!  Thank you.
64;Una gran noticia para otra enfermedad rara!! Os comparto el enlace para que lo veais. Con esfuerzo todo es posible!!  https://www.facebook.com/alianza.karina/posts/1166386746746176;Great news for another rare disease !! I share the link to ye see him. With effort anything is possible !!  https://www.facebook.com/alianza.karina/posts/1166386746746176
65;Noelia Higueras del Campo changed the type of group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram from  Custom  to  Support .;Noelia Higueras del Campo changed the type of group: Spanish Association for Research and Assistance Wolfram syndrome from Custom to Support.
66;Noelia Higueras del Campo changed the privacy setting of Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram from Closed to Public.;Noelia Higueras del Campo changed the privacy setting of Spanish Association for Research and Assistance Wolfram syndrome from Closed to Public.
67;;
68;Con motivo de las valoraciones del Síndrome de Wolfram que cada año se celebran entre Huércal Overa y Almería capital y que van a ser entre los días 18 y 20 de Mayo   este año se va a realizar una Jornada de Puertas Abiertas sobre el Síndrome de Wolfram en la Universidad de Almería el sábado 20 de Mayo.  Todos los que queráis podéis asistir. Os dejamos aquí el programa.;On the occasion of valuations Wolfram Syndrome each year are held between Huercal Overa and Almería capital and that will be between 18 and 20 May this year is to make an Open Day on Wolfram Syndrome in University of Almeria on Saturday 20 May.  All those who want to can attend. We leave here the program.
69;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
70;;
71;;
72;Pues es que hay médicos que no saben que esto está regulado... hala  a difundirlo para que pueda hacer uso quien lo necesite.;It is that there are doctors who do not know this is regulated ... hala to spread it so you can use those in need.
73;Julia Del Campo Garcia shared Enfermedades raras en Castilla-La Mancha s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared rare diseases in Castilla-La Mancha s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
74;http://www.diariosur.es/malaga-capital/201604/13/recorri-espana-maleta-busca-20160412235606.html;http://www.diariosur.es/malaga-capital/201604/13/recorri-espana-maleta-busca-20160412235606.html
75;Cuca Paulo Noguera shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
76;Cuca Paulo Noguera shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
77;El retraso en el Diagnostico  también es retraso en el posible tratamiento y calidad de vida.;The delay in diagnosis is also possible delay in treatment and quality of life.
78;;
79;Mañana acudiremos   Israel Higueras del Campo y Juia Del Campo  seguro que sea muy interesante  gracias Karina  por la invitacion.;Tomorrow we will go secure Israel Higueras del Campo and Del Campo Juia it very interesting Karina thanks for the invitation.
80;Stop FMF estuvo presente en la Inauguración de EURORDIS  Organización Europea para las Enfermedades Raras  en Barcelona. EURORDIS ha inaugurado sus nuevas instalaciones en el Recinto Modernista de Sant Pau. EURORDIS ocupará el Pabellón de Santa Apol·lònia. Esta entidad es una organización no gubernamental dirigida por una alianza de pacientes  representa a más de 700 organizaciones de pacientes de enfermedades minoritarias de 63 países diferentes. EURORDIS  pues  es la voz de 30 millones de personas del continente;Stop FMF was present at the opening of EURORDIS European Organisation for Rare Diseases in Barcelona. EURORDIS has inaugurated its new facilities at the Campus Modernista Sant Pau. EURORDIS will occupy the Pavilion of Santa Apol·lònia.This entity is a non-governmental organization led by an alliance of patients represents more than 700 patient organizations of rare diseases in 63 different countries. EURORDIS it is the voice of 30 million people on the continent
81;Cuca Paulo Noguera shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
82;Os esperamos;We wait for you
83;Por favor votad  necesitan vuestro apoyo para su proyecto de investigación.;Please Votad need your support for your research project.
84;;
85;Gracias por el apoyo que nos estáis dando. No sabemos si lo conseguiremos  pues vamos los segundos en el brindis solidario. Los primeros tienen muchísimos apoyos (un proyecto destinado a la esterilización de mascotas callejeras). ¡Gracias a todos!;Thank you for the support you are giving us. We do not know if we will succeed as we go second in solidarity toast. The former have many props (a project to sterilization of street pets). Thank you all!
86;Por favor  ayudadnos a conseguirlo. Vosotros sabéis lo que es no tener investigación. La nuestra la pagamos nosotros  tampoco tenemos ayudas públicas...;Please help us to achieve this. You know what it is to have research. Ours have not paid us the public support ...
87;http://aswolfram.org/;http://aswolfram.org/
88;Julia Del Campo Garcia shared D Genes Asociación Enfermedades Raras s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared D Genes Rare Diseases Association s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
89;Julia Del Campo Garcia shared D Genes Asociación Enfermedades Raras s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared D Genes Rare Diseases Association s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
90;Cuca Paulo Noguera shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
91;http://formacionasunivep.com/ejihpe/index.php/journal/article/view/90/77;http://formacionasunivep.com/ejihpe/index.php/journal/article/view/90/77
92;LA LUCHA POR UNA ATENCIÓN ADECUADA A LA ENFERMEDAD SÍNDROME DE WOLFRAM;THE STRUGGLE FOR PROPER ATTENTION TO WOLFRAM SYNDROME DISEASE
93;;
94;Cuca Paulo Noguera shared Agustin Abarca Vera s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared Agustin Abarca Vera s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
95;Cuca Paulo Noguera shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
96;Julia Del Campo Garcia shared Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram s photo to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Spanish Association for Research and Assistance Wolfram syndrome s photo to the group: Spanish Association for Research and Assistance Wolfram syndrome.
97;;
98;Julia Del Campo Garcia shared CREER CENTRO DE REFERENCIA ESTATAL DE ENFERMEDADES RARAS Y FAMILIAS s video to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared BELIEVING STATE CENTER REFERENCE AND FAMILIES RARE DISEASES s video to the group: Spanish Association for Research and Assistance Wolfram syndrome.
99;;
100;Cuca Paulo Noguera shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
101;Por el futuro de España;For the future of Spain
102;;
103;Julia Del Campo Garcia shared Aerscyl s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Aerscyl s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
104;Cuca Paulo Noguera shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
105;Animo  el año pasado estuvimos y fue una gran experiencia  padres necesitamos un descanso.;Animo last year we were and it was a great experience parents need a break.
106;Buenos días ! Buena noticia para todos. Fundación Vodafone España y COCEMFE realizarán el proyecto “Webquest: excelencia en la búsqueda inteligente de empleo”  cuya finalidad es la inserción laboral de personas con discapacidad atendiendo especialmente a la formación tecnológica  con experiencias positivas y prácticas  y contemplando transversalmente la perspectiva de género. Más info aquí: http://bit.ly/1Qj8Orw;"Good morning Good news for everyone. Vodafone Spain and COCEMFE Foundation made the project ""Webquest: excellence in intelligent job search"" whose purpose is the employment of people with disabilities with particular regard to technological training with positive experiences and practices and looking across gender. More info here: http://bit.ly/1Qj8Orw"
107;Cuca Paulo Noguera shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
108;Julia Del Campo Garcia shared Diabetes Madrid s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Garcia shared Diabetes Del Campo Madrid s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
109;;
110;Cuca Paulo Noguera shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
111;La Alianza VHL se ha presentado a una convocatoria para poder continuar con nuestras investigaciones en el CSIC  dirigido por la Dra. Luisa Botella. Os pedimos por favor que nos ayudéis a conseguirlo  pidiéndoos vuestro voto para nuestro proyecto. ¡Muchas gracias!;The VHL Alliance has been submitted to a call to continue our research in the CSIC led by Dr. Luisa Botella. Please we ask you to help us get in asking for your vote for our project. Many thanks!
112;;
113;Cuca Paulo Noguera shared her post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Cuca Paulo Noguera shared her post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
114;Por fa . firmar  esto es una vergüenza  tanto estafador  mi prima es una afectada.;By fa. this is a sign both my cousin swindler shame is affected.
115;http://www.diseasemaps.org/es/wolfram-syndrome/;http://www.diseasemaps.org/es/wolfram-syndrome/
116;Julia Del Campo Garcia shared Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Spanish Association for Research and Assistance Wolfram syndrome s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
117;Colabora con los pacientes de Wolfram  un pequeño gesto es primordial para los pacientes. GRACIAS.;Collaborates with Wolfram patients a small gesture is paramount for patients. Thank you!
118;http://www.creenfermedadesraras.es/creer_01/auxiliares/jornadas_congresos/calendario/index.htm?dia=25&mes=2&anno=2016;http://www.creenfermedadesraras.es/creer_01/auxiliares/jornadas_congresos/calendario/index.htm?dia=25&mes=2&anno=2016
119;Julia Del Campo Garcia shared Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Spanish Association for Research and Assistance Wolfram syndrome s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
120;Julia Del Campo Garcia shared Corporación de Pacientes de Enfermedades Genéticas de Chile s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Corporation Genetic Disease Patients Chile s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
121;;
122;Julia Del Campo Garcia shared Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram s post to the group: Asociación Española para la Investigación y Ayuda al Síndrome de Wolfram.;Julia Del Campo Garcia shared Spanish Association for Research and Assistance Wolfram syndrome s post to the group: Spanish Association for Research and Assistance Wolfram syndrome.
